V1,V2,V3,File,ROTATE_0
LABELS,89.8008728027,Zebra,IMG_0096.JPG,
LABELS,70.3391876221,Inflatable,IMG_0096.JPG,
LABELS,97.1039733887,Animal,IMG_0097.JPG,
LABELS,97.1039733887,Mammal,IMG_0097.JPG,
LABELS,97.1039733887,Zebra,IMG_0097.JPG,
LABELS,54.2351799011,Apparel,IMG_0097.JPG,
LABELS,54.2351799011,Clothing,IMG_0097.JPG,
LABELS,53.014289856,Flyer,IMG_0097.JPG,
LABELS,53.014289856,Poster,IMG_0097.JPG,
LABELS,53.5070724487,Flyer,IMG_0098.JPG,
LABELS,53.5070724487,Poster,IMG_0098.JPG,
LABELS,53.4425201416,Apparel,IMG_0098.JPG,
LABELS,53.4425201416,Clothing,IMG_0098.JPG,
LABELS,97.6976242065,Animal,IMG_0100.JPG,
LABELS,97.6976242065,Mammal,IMG_0100.JPG,
LABELS,97.6976242065,Zebra,IMG_0100.JPG,
LABELS,50.8050079346,Silhouette,IMG_0100.JPG,
LABELS,81.5140457153,Animal,IMG_0101.JPG,
LABELS,81.5140457153,Mammal,IMG_0101.JPG,
LABELS,81.5140457153,Zebra,IMG_0101.JPG,
LABELS,86.2091598511,Animal,IMG_0102.JPG,
LABELS,86.2091598511,Mammal,IMG_0102.JPG,
LABELS,86.2091598511,Zebra,IMG_0102.JPG,
LABELS,82.0981826782,Inflatable,IMG_0102.JPG,
LABELS,50.6099891663,Emblem,IMG_0102.JPG,
LABELS,50.6099891663,Logo,IMG_0102.JPG,
LABELS,98.6821365356,People,IMG_0125.JPG,
LABELS,98.6821746826,Person,IMG_0125.JPG,
LABELS,98.5980987549,Human,IMG_0125.JPG,
LABELS,97.8030471802,Animal,IMG_0125.JPG,
LABELS,97.8030471802,Mammal,IMG_0125.JPG,
LABELS,97.8030471802,Zebra,IMG_0125.JPG,
LABELS,81.8416595459,Animal,IMG_0214.JPG,
LABELS,81.8416595459,Gazelle,IMG_0214.JPG,
LABELS,81.8416595459,Impala,IMG_0214.JPG,
LABELS,81.8416595459,Mammal,IMG_0214.JPG,
LABELS,81.8416595459,Wildlife,IMG_0214.JPG,
LABELS,77.8709259033,Antelope,IMG_0214.JPG,
LABELS,60.4107322693,Deer,IMG_0214.JPG,
LABELS,52.89245224,Bongo,IMG_0214.JPG,
LABELS,52.89245224,Percussion,IMG_0214.JPG,
LABELS,99.1405944824,Animal,IMG_0292.JPG,
LABELS,99.1405944824,Elephant,IMG_0292.JPG,
LABELS,99.1405944824,Mammal,IMG_0292.JPG,
LABELS,54.0141029358,Angus,IMG_0292.JPG,
LABELS,54.0141029358,Bull,IMG_0292.JPG,
LABELS,50.9258728027,Grassland,IMG_0292.JPG,
LABELS,50.9258728027,Outdoors,IMG_0292.JPG,
LABELS,50.9258728027,Savanna,IMG_0292.JPG,
LABELS,99.0034866333,Animal,IMG_0293.JPG,
LABELS,99.0034866333,Elephant,IMG_0293.JPG,
LABELS,99.0034866333,Mammal,IMG_0293.JPG,
LABELS,56.5616264343,Grassland,IMG_0293.JPG,
LABELS,56.5616264343,Outdoors,IMG_0293.JPG,
